id,nom,ville,page,code_postal
135,L'Inter'Val, Plélan,3,35380 
137,CENTRE SOCIAL ET CULTUREL VALÉRIE MÉOT / ASSOCIATION MOSAIC, Nanterre,3,92000 
138,Maison Pour Tous- Centre social, Pont,3,29120 
139,ASS DES USAGERS DU CS HAUBOURDIN LE PARC, Haubourdin,3,59320 
140,CENTRE SOCIAL ET CULTUREL GEORGES MÉLIES, Dammartin,3,77230 
141,MAISON DES PROJETS DE BUXEROLLES, Buxerolles,3,86180 
142,CENTRE SOCIAL JACQUES PREVERT, Bellignat,3,01100 
143,CENTRE SOCIAL D'EMPALOT, Toulouse,3,31400 
144,CENTRE SOCIAL A TOUT AGE, Nandy,3,77176 
146,CENTRE SOCIOCULTUREL MOSAIC, Saint,3,26130 
147,CENTRE SOCIAL ESPACE ADELE, Albi,3,81000 
148,CENTRE SOCIAL & CULTUREL PASSERELLE, Saint,3,42740 
149,CENTRE SOCIAL TSIGANE - U.D.A.F. 23, Guéret,3,23003 
150,CENTRE SOCIO CULTUREL DU VOUGLAISIEN   LA CASE, Vouillé,4,86190 
151,MAISON DE QUARTIER NOTRE-DAME, Versailles,4,78000 
152,MAISON DES HABITANTS-ES SURIEUX, Échirolles,4,38130 
153,CENTRE SOCIAL FLORA TRISTAN, Meyzieu,4,69330 
154,CENTRE SOCIAL TOUSSAREGO, PARIS 13EME ARRONDISSEMENT,4,75013 
155,CENTRE SOCIAL ESPACE FORT, Calais,4,62100 
157,MJC CENTRE SOCIAL HALLUIN, Halluin,4,59250 
158,Maison pour Tous, Sailly,4,62840 
159,"CENTRE SOCIAL L'ESPACE, association Espace Talançonnais", Reyrieux,4,01600 
160,CENTRE SOCIAL DE LA LANDE, Saint,4,35136 
224,CENTRE SOCIAL CONFLUENCE, Redon,4,35600 
225,CENTRE SOCIAL PORCHEFONTAINE, Versailles,4,78000 
226,CENTRE SOCIOCULTUREL DES MOULINS, Chambéry,4,73000 
227,PARTAGE FAOURETTE, Toulouse,4,31100 
228,"Maison des Jeunes et de la Culture, centre de loisirs des deux villes : MJC CL2V", Bordeaux,4,33200 
229,ESPACE SOCIAL ET CITOYEN DE TERRE ROUGE/ VIEUX CAHORS, Cahors,4,46000 
230,CENTRE SOCIAL 13 POUR TOUS, PARIS 13EME ARRONDISSEMENT,4,75013 
231,CENTRE SOCIAL DU SEGALA TARNAIS, Valderiès,4,81350 
232,CENTRE SOCIAL ET CULTUREL LE ROULE, Mulatière,4,69350 
234,CENTRE SOCIAL MUNICIPAL SIN LE NOBLE, Sin,4,59450 
235,CENTRE SOCIAL MAISON DES SERVICES ANDREE TANDONNET, Condom,4,32100 
236,CENTRE SOCIAL VIC-ACCUEIL, Vic,4,32190 
237,CS LUCIA TICHADOU, Port,4,13110 
239,MAISON POUR TOUS, Firminy,4,42700 
240,CENTRE SOCIAL Carrefour 18 RENNES, Rennes,4,35000 
241,ASSOCIATION D'ANIMATION DU BEAUFORTAIN, Beaufort,5,73270 
242,LE MARAIS, Coulon,5,79510 
243,MQ CENTRE VILLE, Valenciennes,5,59 300 
244,CENTRE SOCIO-CULTUREL  DE L'ALBARINE, Saint,5,01230 
245,CENTRE SOCIOCULTUREL  MAURICE NOGUES, PARIS 14EME ARRONDISSEMENT,5,75014 
246,ALLIANCES ET CULTURES SEPT DENIERS, Toulouse,5,31200 
247,CENTRE SOCIAL LES CAMPANULES, Soisy,5,95230 
248,CENTRE SOCIOCULTUREL MARC SANGNIER, Gonesse,5,95500 
249,Association de gestion du centre social Bonnefoi, LYON 3EME ARRONDISSEMENT,5,69003 
250,MAISON DES QUARTIERS, Provins,5,77160 
251,CSC RAIL ATAC LOUVROIL, Louvroil,5,59720 
252,CENTRE SOCIAL Paul Vittoz, Chasse,5,38670 
253,CENTRE SOCIAL - MAISON DU CANTON, Louvigné,5,35420 
254,CENTRE SOCIAL MARCEAU MULSANT, Roanne,5,42300 
255,L' Arche - Centre social - Maison des Initiatives et du Developpement Social (MIDS), Seyssinet,5,38170 
256,CS LA CARRAIRE, Miramas,5,13142 
257,CENTRE SOCIAL LE LAVOIR (AIDA), Ambérieu,5,01500 
258,CENTRE SOCIAL BELLEFONTAINE - LAFOURGUETTE, Toulouse,5,31100 
259,CENTRE SOCIAL MAISON DE TOUS, Aubergenville,5,78410 
260,CENTRE SOCIO-CULTUREL GUYNEMER, Châtillon,5,92320 
261,CENTRE SOCIAL MUNICIPAL L'AGORA, Élancourt,5,78990 
262,CS MAROC CHATENAY POETES, Pierrefitte,5,93380 
264,CENTRE SOCIAL FOSSEEN, Fos,5,13270 
265,"CENTRE  LE LIERRE , THIONVILLE", Thionville,5,57100 
266,CSC FOURMIES, Fourmies,5,59610 
267,LAMARTINE . CACHAN, Cachan,6,94230 
268,CENTRE SOCIAL SOLAURE-LA JOMAYERE, Saint,6,42100 
