Libelle1;Libelle2;Localisation;voie;CP;CEDEXB;Ville;DEPT;INSEE;coordonnees_ban;coordonnees_insee;coordonnees_finales;code_bib;code_ua;Code region;Statut;surface;type_adresse;amplitude_horaire;pop_com
Point Lecture;;;6 LE BOURG;33490;;Saint-Martial;33;33440;44.637487, -0.175347;44.6326268868, -0.177651348773;44.637487,-0.175347;7314.0;7314.0;75;Bibliothèque municipale;35.0;Bibliothèque ouverte au public;2.0;257.0
Bibliothèque Municipale Saint Romain La Virvée;Hôtel de ville;;38 ROUTE DE CADILLAC;33240;;Saint-Romain-la-Virvée;33;33470;44.965647, -0.399482;44.9594958204, -0.409988022855;44.965647,-0.399482;7325.0;7325.0;75;Bibliothèque municipale;20.0;Bibliothèque ouverte au public;2.0;875.0
Mediatheque Municipale;JEAN COCTEAU;;4 Avenue Georges Clémenceau;33660;BP 26;Saint-Seurin-sur-l'Isle;33;33478;45.0147, -0.000848;45.0105769146, -0.0011367508014;45.0147,-0.000848;1356.0;1356.0;75;Bibliothèque municipale;560.0;Bibliothèque ouverte au public;26.0;3218.0
ASSOC.A LIVRES OUVERTS;;;Cours Pierre Lassalle;33590;BP12;Saint-Vivien-de-Médoc;33;33490;45.427096, -1.034086;45.4448997838, -1.02531932797;45.427096,-1.034086;7336.0;7336.0;75;Bibliothèque municipale;;Bibliothèque ouverte au public;;1780.0
Bibliotheque de Saint Vivien De Monsegur;;;rue du 8 mai 1945;33580;;Saint-Vivien-de-Monségur;33;33491;44.61684, 0.105119;44.6162538241, 0.116604904925;44.61684,0.105119;11433.0;11433.0;75;Bibliothèque municipale;;Bibliothèque ouverte au public;;369.0
Médiathèque Municipale de Salles;;;21 allée Félix Arnaudin;33770;;Salles;33;33498;44.550864, -0.864648;44.5414583126, -0.883819514854;44.550864,-0.864648;7338.0;7338.0;75;Bibliothèque municipale;130.0;Bibliothèque ouverte au public;26.0;6913.0
Bibliothèque de Saumos;;Mairie;7 avenue du medoc;33680;;Saumos;33;33503;44.921204, -0.986603;44.9121930542, -1.00529484975;44.921204,-0.986603;7341.0;7341.0;75;Bibliothèque municipale;55.0;Bibliothèque ouverte au public;3.5;550.0
Bibliothèque De Savignac;;Maison des Associations;;33124;;Savignac;33;33508;44.522066, -0.110088;44.5147062102, -0.108846337932;44.522066,-0.110088;7343.0;13928.0;75;Bibliothèque municipale;;Bibliothèque ouverte au public;;658.0
Bibliothèque Municipale;;;16 route de Pauillac;33460;;Soussans;33;33517;45.056151, -0.699942;45.0563042075, -0.697907697302;45.056151,-0.699942;7345.0;7345.0;75;Bibliothèque municipale;43.0;Bibliothèque ouverte au public;4.0;1617.0
Médiathèque Municipale l'EKLA;;67 rue des Pins;67 rue des pins;33470;;Le Teich;33;33527;44.623604, -1.027612;44.5781043558, -1.02426702104;44.623604,-1.027612;1362.0;1362.0;75;Bibliothèque municipale;170.0;Bibliothèque ouverte au public;18.5;7835.0
La Biblio, bibliothèque de lecture publique;;;PLACE JEAN HAMEAU;33260;;La Teste-de-Buch;33;33529;44.632617, -1.145219;44.5561823053, -1.17530826791;44.632617,-1.145219;1363.0;1363.0;75;Bibliothèque municipale;295.0;Bibliothèque ouverte au public;30.0;26493.0
Médiathèque d'Ornon;;;46 BIS RUE JEAN-JACQUES ROUSSEAU;33140;;Villenave-d'Ornon;33;33550;44.763711, -0.584681;44.773185218, -0.558212256384;44.763711,-0.584681;1365.0;1365.0;75;Bibliothèque municipale;;Bibliothèque ouverte au public;;31967.0
Bibliothèque Municipale de Marcheprime;;;4 Avenue de la République;33380;;Marcheprime;33;33555;44.691978, -0.85448;44.7030054504, -0.856342535157;44.691978,-0.85448;7360.0;7360.0;75;Bibliothèque municipale;120.0;Bibliothèque ouverte au public;18.0;4753.0
Bibliothèque Municipale;;3 PLACE ETIENNE SANIER;3 Place Etienne SANIER;34150;;Aniane;34;34010;43.685835, 3.58562;43.6835011433, 3.59259437611;43.685835,3.58562;7367.0;7367.0;76;Bibliothèque municipale;120.0;Bibliothèque ouverte au public;8.0;3008.0
Bibliotheque Municipale;;;Place du 14 juillet;34480;;Autignac;34;34018;43.498758, 3.168406;43.4997194171, 3.16767512449;43.498758,3.168406;1369.0;1369.0;76;Bibliothèque municipale;90.0;Bibliothèque ouverte au public;6.0;908.0
Bibliothèque De Avène;;;;00000;;Avène;34;34019;;43.7483953944, 3.10467542388;43.7483953944,3.10467542388;7371.0;7371.0;76;Bibliothèque municipale;;Bibliothèque ouverte au public;;302.0
Mediatheque Municipale;MAX ROUQUETTE;;19 BIS avenue de l'Abbé Tarroux;34600;;Bédarieux;34;34028;43.617685, 3.155392;43.6125569074, 3.16680787195;43.617685,3.155392;1372.0;1372.0;76;Bibliothèque municipale;594.0;Bibliothèque ouverte au public;21.0;6209.0
Bibliothèque De Berlou;;;Avenue de la Mairie;34360;;Berlou;34;34030;43.490736, 2.958834;43.4985990248, 2.94998951427;43.490736,2.958834;7375.0;7375.0;76;Bibliothèque municipale;;Bibliothèque ouverte au public;;203.0
Bibliotheque De La Boissiere;;;6 RUE DE LA POSTE;34150;;La Boissière;34;34035;43.663117, 3.644923;43.6543984294, 3.64428863872;43.663117,3.644923;7377.0;7377.0;76;Bibliothèque municipale;30.0;Bibliothèque ouverte au public;10.5;1042.0
Bibliothèque Municipale De Le Bosc;;;ROUTE DE SAINT-ALBAN;34700;;Le Bosc;34;34036;43.705182, 3.395874;43.6957752498, 3.38710687452;43.705182,3.395874;7378.0;7378.0;76;Bibliothèque municipale;80.0;Bibliothèque ouverte au public;7.0;1369.0
Mediatheque Municipale;Espace intergenerationnel Raymond Faro;;7 rue des écoles;34760;;BOUJAN SUR LIBRON;34;34037;43.3701, 3.248871;43.3803202017, 3.26313194789;43.3701,3.248871;17551.0;1375.0;76;Bibliothèque municipale;;Adresse administrative;;3410.0
Bibliothèque Municipale;;;1 rue du Four;34160;;Buzignargues;34;34043;43.770526, 4.00499;43.771599327, 3.99491070508;43.770526,4.00499;7381.0;7381.0;76;Bibliothèque municipale;20.0;Bibliothèque ouverte au public;3.0;318.0
Bibliothèque Le Bourniou;;;10 rue de l'église;34800;;Cabrières;34;34045;43.576214, 3.362271;43.5777973112, 3.34800607563;43.576214,3.362271;7382.0;7382.0;76;Bibliothèque municipale;50.0;Bibliothèque ouverte au public;3.0;502.0
Médiathèque Aimé Césaire;;;Allée Rose de France;34170;;Castelnau-Le-Lez;34;34057;43.633287, 3.900036;43.6380218809, 3.91265416028;43.633287,3.900036;5576.0;1406.0;76;Bibliothèque municipale classée;;Bibliothèque ouverte au public;;19886.0
Médiathèque Françoise Giroud;;;15 avenue de la Cave Coopérative;34160;;Castries;34;34058;43.675442, 3.980412;43.6886913473, 3.97909849679;43.675442,3.980412;15245.0;1406.0;76;Bibliothèque municipale classée;;Bibliothèque ouverte au public;;6162.0
Mediatheque Francois-Rabelais;CAUX;;13 RUE JULES FERRY;34720;;Caux;34;34063;43.507101, 3.366481;43.5044671037, 3.36827222924;43.507101,3.366481;5579.0;1412.0;76;Bibliothèque municipale;;Bibliothèque ouverte au public;;2592.0
Bibliothèque Clardeluno;;;4 avenue de l'abbé Brouillet;34460;;Cazedarnes;34;34065;43.423136, 3.027563;43.4234094585, 3.0282977991;43.423136,3.027563;7390.0;7390.0;76;Bibliothèque municipale;;Bibliothèque ouverte au public;;610.0
Georges Frêche;;;11 Avenue Amédée Borrel;34370;;CAZOULS LES BEZIERS;34;34069;43.393445, 3.09658;43.3976310061, 3.09968408339;43.393445,3.09658;15583.0;4645.0;76;Bibliothèque municipale;450.0;Bibliothèque ouverte au public;23.0;5002.0
Mairie;bibliotheque municipale;Le village;10 rue Cathal;34260;;Ceilhes-et-Rocozels;34;34071;43.803162, 3.111212;43.809322318, 3.09184232431;43.803162,3.111212;7393.0;7393.0;76;Bibliothèque municipale;;Bibliothèque ouverte au public;;324.0
Médiathèque Albert Camus;24025;;12 rue Albert Camus;34830;;Clapiers;34;34077;43.655146, 3.881043;43.6620192267, 3.88689748204;43.655146,3.881043;10164.0;1406.0;76;Bibliothèque municipale classée;1200.0;Bibliothèque ouverte au public;28.0;5527.0
Bibliotheque Municipale;;Espace Victor Crémieu;chemin des;34390;;Colombières-sur-Orb;34;34080;43.578466, 3.011669;43.5853145564, 3.01084654208;43.578466,3.011669;7397.0;7397.0;76;Bibliothèque municipale;;Adresse administrative;;494.0
Médiathèque de Colombiers;;;29 avenue de Béziers;34440;;Colombiers;34;34081;43.313405, 3.142008;43.3154427074, 3.14408489609;43.313405,3.142008;7398.0;7398.0;76;Bibliothèque municipale;;Bibliothèque ouverte au public;;2422.0
Bibliotheque Municipale;;;20 B PLACE CAMILLE SALLAN;34660;;Cournonterral;34;34088;43.557456, 3.71591;43.5694241257, 3.70642853592;43.557456,3.71591;1382.0;1382.0;76;Bibliothèque municipale;240.0;Bibliothèque ouverte au public;17.0;5844.0
Bibliothèque Municipale de Creissan;;;Square Alban Calmel;34370;;Creissan;34;34089;;43.3771624265, 2.99976062143;43.3771624265,2.99976062143;7401.0;7401.0;76;Bibliothèque municipale;80.0;Bibliothèque ouverte au public;4.0;1406.0
Bibliothèque;;Mairie;;34210;;Ferrals-les-Montagnes;34;34098;43.401592, 2.631083;43.4188135877, 2.6417753577;43.401592,2.631083;7407.0;7407.0;76;Bibliothèque municipale;;Bibliothèque ouverte au public;;177.0
Médiathèque De Fontès;;;1 rue de l'hôpital;34320;;Fontès;34;34103;43.539825, 3.379259;43.5419967541, 3.39026556007;43.539825,3.379259;7409.0;7409.0;76;Bibliothèque municipale;;Bibliothèque ouverte au public;;1019.0
Médiathèque Montaigne;;;1 place du Contr'un;34110;;FRONTIGNAN;34;34108;43.443916, 3.748029;43.4482458873, 3.74923522416;43.443916,3.748029;14569.0;1421.0;76;Bibliothèque municipale;;Bibliothèque ouverte au public;;23014.0
Mediatheque Municipale;LUCIE AUBRAC;;PLACE DU 8 MAI 1945;34190;;Ganges;34;34111;43.935558, 3.708301;43.9457300618, 3.70523816055;43.935558,3.708301;1384.0;1384.0;76;Bibliothèque municipale;;Bibliothèque ouverte au public;;4038.0
Bibliothèque De Graissessac;;;11 RUE DES ECOLES;34260;;GRAISSESSAC;34;34117;43.68012, 3.092376;43.6862996463, 3.08522636762;43.68012,3.092376;7416.0;7416.0;76;Bibliothèque municipale;;Bibliothèque ouverte au public;;679.0
Bibliothèque Paul Valéry;;;10 Avenue de Bédarieux;34600;;Hérépian;34;34119;43.593736, 3.116276;43.591789169, 3.11770187761;43.593736,3.116276;7417.0;7417.0;76;Bibliothèque municipale;50.0;Bibliothèque ouverte au public;3.0;1541.0
Médiathèque Théodore Monod;;Rue du Poumpidou;2 Rue du Poumpidou;34990;;Juvignac;34;34123;43.612872, 3.805009;43.6237646402, 3.79579375182;43.612872,3.805009;1388.0;1388.0;76;Bibliothèque municipale;646.0;Bibliothèque ouverte au public;23.5;10783.0
Bibliotheque Municipale;ALEXANDRE LANGLADE;;RUE Place St Jean;34130;;Lansargues;34;34127;43.651352, 4.072485;43.6364436854, 4.08270443666;43.651352,4.072485;1389.0;1389.0;76;Bibliothèque municipale;130.0;Bibliothèque ouverte au public;23.0;3142.0
Mediatheque Albertine Sarrazin;;;AVENUE DES FRERES BOYER;34490;;Lignan-sur-Orb;34;34140;43.384127, 3.168029;43.382486634, 3.17270457784;43.384127,3.168029;1393.0;1393.0;76;Bibliothèque municipale;320.0;Bibliothèque ouverte au public;17.5;3121.0
Médiathèque Kalliopê;;Mairie;6 Avenue de;34480;;Magalas;34;34147;43.471804, 3.224881;43.4808688877, 3.21744589266;43.471804,3.224881;7427.0;7427.0;76;Bibliothèque municipale;242.0;Bibliothèque ouverte au public;22.0;3368.0
Mediatheque GASTON BAISSETTE;;Boulevard de la Liberté;106 BOULEVARD DE LA LIBERTE;34130;;Mauguio;34;34154;43.614688, 4.01217;43.5928279472, 4.00425693337;43.614688,4.01217;1399.0;1399.0;76;Bibliothèque municipale;950.0;Bibliothèque ouverte au public;30.0;17446.0
Médiathèque De L'ancre;;Centre administratif de Carnon;Rue du levant;34130;;CARNON;34;34154;43.54661, 3.978933;43.5928279472, 4.00425693337;43.54661,3.978933;5567.0;1399.0;76;Bibliothèque municipale;450.0;Bibliothèque ouverte au public;20.0;17446.0
Bibliotheque Municipale;;;Allée Jean Moulin;34570;;Montarnaud;34;34163;43.651949, 3.700528;43.6470278582, 3.69970280024;43.651949,3.700528;1403.0;1403.0;76;Bibliothèque municipale;195.0;Bibliothèque ouverte au public;16.0;3194.0
Bibliothèque De Montbazin;;;;00000;;Montbazin;34;34165;;43.5327997823, 3.67193055324;43.5327997823,3.67193055324;7432.0;7432.0;76;Bibliothèque municipale;;Bibliothèque ouverte au public;;3058.0
Bibliothèque L'abri Des Mots;;;Place de l;34190;;Montoulieu;34;34171;43.926607, 3.790621;43.919242211, 3.80187206005;43.926607,3.790621;7435.0;7435.0;76;Bibliothèque municipale;;Bibliothèque ouverte au public;;165.0
Médiathèque Victor Hugo;;;207 rue Guillaume Janvier;34000;;Montpellier;34;34172;43.643434, 3.840144;43.6134409138, 3.86851657896;43.643434,3.840144;5570.0;1406.0;76;Bibliothèque municipale classée;;Bibliothèque ouverte au public;;282143.0
Médiathèque Federico Garcia Lorca;;;162 avenue de Palavas;34070;;Montpellier;34;34172;43.590039, 3.891144;43.6134409138, 3.86851657896;43.590039,3.891144;5571.0;1406.0;76;Bibliothèque municipale classée;;Bibliothèque ouverte au public;;282143.0
Bibliotheque Municipale;;;16 RUE MAZES;34150;;Montpeyroux;34;34173;43.693439, 3.503288;43.711158125, 3.50240555203;43.693439,3.503288;7436.0;7436.0;76;Bibliothèque municipale;47.0;Bibliothèque ouverte au public;4.5;1356.0
Bibliothèque Municipale;;Mairie;Place Jean Moulin;34800;;Nébian;34;34180;43.606224, 3.431094;43.5995432245, 3.43678111885;43.606224,3.431094;7439.0;7439.0;76;Bibliothèque municipale;65.0;Bibliothèque ouverte au public;7.0;1419.0
Cahier Julie;;Place de la Mairie;place de la mairie;34320;;NEFFIES;34;34181;43.534512, 3.331339;43.5393423873, 3.33354409395;43.534512,3.331339;7440.0;7440.0;76;Bibliothèque municipale;;Bibliothèque ouverte au public;;1073.0
Bibliothèque De Puilacher;Le Préau;;rue des écoles;34230;;Puilacher;34;34222;43.567012, 3.506402;43.5667592874, 3.50438177235;43.567012,3.506402;7460.0;7460.0;76;Bibliothèque municipale;25.0;Bibliothèque ouverte au public;6.0;524.0
bibliothèque - Mairie;;mairie;;34650;;Roqueredonde;34;34233;43.79748, 3.214847;43.7962962251, 3.20797377545;43.79748,3.214847;18980.0;1407.0;76;Bibliothèque départementale;;Bibliothèque ouverte au public;;213.0
Bibliothèque -Foyer Rural;;;2 Place de la mairie;34320;;Roujan;34;34237;43.504323, 3.310604;43.5109460252, 3.30936586252;43.504323,3.310604;7468.0;7468.0;76;Bibliothèque municipale;;Bibliothèque ouverte au public;3.5;2103.0
Bibliothèque Municipale;;;5 rue des fontaines;34725;;Saint-André-de-Sangonis;34;34239;43.650484, 3.50483;43.6502281651, 3.50287642429;43.650484,3.50483;7469.0;7469.0;76;Bibliothèque municipale;170.0;Bibliothèque ouverte au public;18.0;5761.0
Bibliothèque Municipale;;Mairie;;34390;;Saint-Etienne-d'Albagnan;34;34250;43.531678, 2.855315;43.5283591648, 2.86528483537;43.531678,2.855315;7474.0;7474.0;76;Bibliothèque municipale;;Bibliothèque ouverte au public;;326.0
BIBLIOTHEQUE MUNICIPALE;DE SAINT JEAN DE FOS;salle polyvalente;0 avenue Razimbaud;34150;;Saint-Jean-de-Fos;34;34267;43.698176, 3.553698;43.6938600875, 3.5464221395;43.698176,3.553698;7483.0;7483.0;76;Bibliothèque municipale;40.0;Bibliothèque ouverte au public;8.5;1679.0
Bibliothèque Municipale;Jean Ros;;3 avenue Grand Chemin;34700;;Saint-Jean-de-la-Blaquière;34;34268;43.714024, 3.422273;43.7101712397, 3.42987273184;43.714024,3.422273;7484.0;7484.0;76;Bibliothèque municipale;90.0;Bibliothèque ouverte au public;22.0;652.0
Médiathèque Pierre Granier;;;place de l'évêché;34220;;SAINT PONS DE THOMIERES;34;34284;43.488294, 2.760486;43.4788345407, 2.74852691953;43.488294,2.760486;7494.0;7494.0;76;Bibliothèque municipale;60.0;Bibliothèque ouverte au public;9.0;2065.0
Médiathèque Léon Cordes;;Place de la mairie;8;34210;;Siran;34;34302;43.312625, 2.659987;43.3302941258, 2.66325916558;43.312625,2.659987;7502.0;7502.0;76;Bibliothèque municipale;;Bibliothèque ouverte au public;;726.0
Bibliothèque Municipale;;;2 place de la mairie;34230;;Vendémian;34;34328;43.580951, 3.561852;43.5790567885, 3.56253401848;43.580951,3.561852;7511.0;7511.0;76;Bibliothèque municipale;72.0;Bibliothèque ouverte au public;9.5;1071.0
Bibliothèque De Villespassans;;;;00000;;Villespassans;34;34339;;43.3817686884, 2.91141941594;43.3817686884,2.91141941594;7517.0;7517.0;76;Bibliothèque municipale;;Bibliothèque ouverte au public;;165.0
Médiatheque Municipale;;La Passerelle;22 bis Rue Abbé Barbedet;35690;;Acigné;35;35001;48.134003, -1.536358;48.1464008617, -1.51879762112;48.134003,-1.536358;1439.0;1439.0;53;Bibliothèque municipale;437.0;Bibliothèque ouverte au public;20.0;6702.0
Bibliotheque Municipale;Centre Culturel du vieux porche;ESPACE FONTAINES;;35680;;Bais;35;35014;48.009764, -1.290938;48.0108227925, -1.30560487998;48.009764,-1.290938;1443.0;1443.0;53;Bibliothèque municipale;150.0;Bibliothèque ouverte au public;13.0;2389.0
Bibliothèque;;MAIRIE;13 bis rue Saint Martin;35500;;Balazé;35;35015;48.168404, -1.191909;48.1777363541, -1.18302870433;48.168404,-1.191909;1444.0;1444.0;53;Bibliothèque municipale;130.0;Bibliothèque ouverte au public;11.0;2323.0
Bibliotheque Municipale Anim'livres;;;6 RUE DE LA LIBERATION;35190;;La Baussaine;35;35017;48.312875, -1.899356;48.3125973519, -1.89690518191;48.312875,-1.899356;7527.0;7527.0;53;Bibliothèque municipale;65.0;Bibliothèque ouverte au public;6.0;665.0
Médiathèque Bazouges-la-Pérouse;;;31 RUE DU MAINE;35560;;Bazouges-la-Pérouse;35;35019;48.426162, -1.573536;48.4405619878, -1.56381100666;48.426162,-1.573536;7528.0;7653.0;53;Bibliothèque municipale;;Bibliothèque ouverte au public;;1840.0
Médiathèque communautaire de Beaucé;Les Tournesols;;2 rue de Bretagne;35133;;Beaucé;35;35021;48.338575, -1.157086;48.3472640722, -1.15617278837;48.338575,-1.157086;10045.0;1468.0;53;Bibliothèque municipale;;Bibliothèque ouverte au public;32.0;1348.0
Bibliotheque Municipale;;HOTEL DE VILLE;SQUARE DU DR LAMBERT;35190;;Bécherel;35;35022;48.296743, -1.946111;48.2965087434, -1.9428236566;48.296743,-1.946111;1446.0;1446.0;53;Bibliothèque municipale;75.0;Bibliothèque ouverte au public;6.0;693.0
Bibliothèque municipale;;;5 rue des Rosiers;35137;;Bédée;35;35023;48.178776, -1.943753;48.1867854557, -1.94992897957;48.178776,-1.943753;7529.0;7529.0;53;Bibliothèque municipale;110.0;Bibliothèque ouverte au public;13.0;4270.0
Bibliotheque Municipale;Le Livre en Bonnes Mains;;24 place de l'Eglise;35270;;Bonnemain;35;35029;48.466924, -1.766275;48.4711533763, -1.7614236564;48.466924,-1.766275;1448.0;1448.0;53;Bibliothèque municipale;92.0;Bibliothèque ouverte au public;8.0;1526.0
Bibliothèque municipale de La Bosse de Bretagne;La Bosse Du Livre;;1 rue de la bascule;35320;;La Bosse-de-Bretagne;35;35030;47.869906, -1.598071;47.8682982413, -1.58824965901;47.869906,-1.598071;7531.0;7531.0;53;Bibliothèque municipale;50.0;Bibliothèque ouverte au public;5.0;656.0
Bibliotheque Municipale;;CENTRE CULTUREL MAISONNEUVE;20 RUE JEAN-MARIE PAVY;35340;;La Bouëxière;35;35031;48.185088, -1.440929;48.1743733249, -1.43646357128;48.185088,-1.440929;1449.0;1449.0;53;Bibliothèque municipale;350.0;Bibliothèque ouverte au public;15.0;4420.0
Bibliothèque Municipale;;rue de Bretagne;3;35370;;Bréal-sous-Vitré;35;35038;48.098174, -1.063575;48.0921515475, -1.06109442521;48.098174,-1.063575;7535.0;7535.0;53;Bibliothèque municipale;40.0;Bibliothèque ouverte au public;1.5;664.0
La Cédille;Médiathèque municipale de Breteil;;4 rue Joseph Berrée;35160;;Breteil;35;35040;48.145679, -1.900126;48.1381002626, -1.91036057871;48.145679,-1.900126;7537.0;7537.0;53;Bibliothèque municipale;210.0;Bibliothèque ouverte au public;17.0;3551.0
Bibliothéque Municipale;;LE GRAND LOGIS;10 AVENUE DU GENERAL DE GAULLE;35170;;Bruz;35;35047;48.02352, -1.744768;48.0261755313, -1.74817480915;48.02352,-1.744768;1453.0;1453.0;53;Bibliothèque municipale;920.0;Bibliothèque ouverte au public;25.0;18476.0
Bibliothèque Jean Zay;;;2 PLACE DE LA MAIRIE;35190;;La Chapelle-aux-Filtzméens;35;35056;48.383779, -1.824752;48.3817396388, -1.8184050063;48.383779,-1.824752;7541.0;7541.0;53;Bibliothèque municipale;120.0;Bibliothèque ouverte au public;7.0;844.0
Bibliothèque Municipale de la Chapelle-Bouëxic;;;19 rue de la Mairie;35330;;La Chapelle-Bouëxic;35;35057;47.92906, -1.94068;47.9365752557, -1.92323342783;47.92906,-1.94068;1457.0;1457.0;53;Bibliothèque municipale;140.0;Bibliothèque ouverte au public;12.0;1432.0
Mediatheque;CENTRE CULTUREL POLE SUD;BP 37604;1 RUE DE LA CONTERIE;35176;37604;Chartres-de-Bretagne;35;35066;;48.0451561683, -1.70650297343;48.0451561683,-1.70650297343;1459.0;1459.0;53;Bibliothèque municipale;850.0;Bibliothèque ouverte au public;22.0;7529.0
Médiathèque Municipale;;Ossé;1 rue de l'étang;35410;;Chateaugiron;35;35069;48.055359, -1.450329;48.0441575779, -1.50016256863;48.055359,-1.450329;7622.0;1461.0;53;Bibliothèque municipale;;Bibliothèque ouverte au public;;9809.0
Bibliothèque Municipale;;;24 rue du Fort;35430;;Châteauneuf-d'Ille-et-Vilaine;35;35070;48.563512, -1.927258;48.5578928672, -1.92925036505;48.563512,-1.927258;7548.0;7548.0;53;Bibliothèque municipale;115.0;Bibliothèque ouverte au public;17.5;1691.0
Bibliothèque Municipale;;Mairie;7 Place du Chêne-Vert;35310;;Cintré;35;35080;48.106166, -1.873275;48.108708615, -1.88667263001;48.106166,-1.873275;7551.0;7551.0;53;Bibliothèque municipale;180.0;Bibliothèque ouverte au public;10.0;2277.0
Médiathèque Les Sources;;;5 RUE DU LINON;35270;;Combourg;35;35085;48.409509, -1.748997;48.4083560805, -1.74519435019;48.409509,-1.748997;1464.0;1464.0;53;Bibliothèque municipale;640.0;Bibliothèque ouverte au public;20.0;6010.0
Bibliotheque Municipale;LES MOTS PASSANTS;;1 RUE JANZE;35150;;Corps-Nuds;35;35088;47.977976, -1.587023;47.9823871404, -1.57026704551;47.977976,-1.587023;1465.0;1465.0;53;Bibliothèque municipale;115.0;Bibliothèque ouverte au public;11.0;3274.0
Médiathèque communautaire de Dompierre-du-Chemin;;;Impasse de la Saudrais;35210;;Dompierre-du-Chemin;35;35100;48.266959, -1.141192;48.2671470329, -1.14643708815;48.266959,-1.141192;10048.0;1468.0;53;Bibliothèque municipale;;Bibliothèque ouverte au public;;589.0
Médiathèque Municipale d'Ercé près Liffré;Le Relais des Cultures;;Place de la mairie;35340;;Ercé-près-Liffré;35;35107;48.255939, -1.516931;48.2542003303, -1.51716704496;48.255939,-1.516931;10030.0;10030.0;53;Bibliothèque municipale;318.0;Bibliothèque ouverte au public;14.0;1796.0
Bibliotheque Municipale De Feins;;;2 rue des écoles;35440;;Feins;35;35110;48.328378, -1.640497;48.328121746, -1.62597037804;48.328378,-1.640497;7569.0;7569.0;53;Bibliothèque municipale;;Bibliothèque ouverte au public;;954.0
Médiathèque La Parenthese;;;2 allée des sports;35850;;Gévezé;35;35120;48.223001, -1.799423;48.2133254705, -1.79930703575;48.223001,-1.799423;7576.0;7576.0;53;Bibliothèque municipale;350.0;Bibliothèque ouverte au public;13.5;5275.0
Médiathèque Municipale de Gosné;;;Place du Calvaire;35140;;Gosné;35;35121;48.246975, -1.467167;48.2503523895, -1.45860853595;48.246975,-1.467167;7577.0;7577.0;53;Bibliothèque municipale;101.0;Bibliothèque ouverte au public;11.0;2040.0
Bibliothèque Municipale De Janzé;;;Les Halles;35150;;Janzé;35;35136;47.960133, -1.498017;47.9428950804, -1.50038718382;47.960133,-1.498017;7587.0;7587.0;53;Bibliothèque municipale;325.0;Bibliothèque ouverte au public;16.5;8441.0
Médiathèque communautaire de Landéan;;;1 bis rue Thomas Latouche;35133;;Landéan;35;35142;48.413954, -1.153273;48.4131956969, -1.14760395074;48.413954,-1.153273;10052.0;1468.0;53;Bibliothèque municipale;;Bibliothèque ouverte au public;;1280.0
Bibliotheque Municipale De Langan;;;3 Place Jean Gilbert;35850;;Langan;35;35144;48.24521, -1.852184;48.2363756072, -1.84565830249;48.24521,-1.852184;7589.0;7589.0;53;Bibliothèque municipale;80.0;Bibliothèque ouverte au public;7.0;934.0
Médiathèque de Langon;;MAIRIE DE LANGON;5 Rue de la Grémairie;35660;;Langon;35;35145;47.720916, -1.84801;47.733471612, -1.87194975237;47.720916,-1.84801;7590.0;7590.0;53;Bibliothèque municipale;100.0;Bibliothèque ouverte au public;8.0;1478.0
Mediatheque De Livré-Sur-Changeon;;Salle Jean de La Fontaine;9 RUE JEAN-LOUIS GUERIN;35450;;Livré-sur-Changeon;35;35154;48.218557, -1.344135;48.2273048831, -1.34883997825;48.218557,-1.344135;1473.0;1473.0;53;Bibliothèque municipale;120.0;Bibliothèque ouverte au public;13.0;1713.0
Bibliotheque Municipale;;;30 rue de la poste;35550;;Lohéac;35;35155;47.866907, -1.885109;47.8732108316, -1.888495597;47.866907,-1.885109;7595.0;7595.0;53;Bibliothèque municipale;85.0;Bibliothèque ouverte au public;4.0;673.0
Médiathèque communautaire de Le Loroux;;;rue des Portes de Bretagne;35133;;Le Loroux;35;35157;48.394604, -1.065778;48.3948985787, -1.0831112937;48.394604,-1.065778;10054.0;1468.0;53;Bibliothèque municipale;;Bibliothèque ouverte au public;;678.0
Bibliothèque de Marcillé-Raoul;;;18 RUE DU STADE;35560;;Marcillé-Raoul;35;35164;48.384955, -1.606093;48.3743980511, -1.6139420088;48.384955,-1.606093;7596.0;7653.0;53;Bibliothèque municipale;;Bibliothèque ouverte au public;;808.0
Médiathèque L'Envol;;;12 PLACE SAINTE-ANNE;35640;;Martigné-Ferchaud;35;35167;47.831339, -1.32025;47.8281952315, -1.32808258577;47.831339,-1.32025;1476.0;1476.0;53;Bibliothèque municipale;250.0;Bibliothèque ouverte au public;12.0;2678.0
Médiathèque Municipale;;3 rue Cawiezel;3 rue Cawiezel;35480;;Guipry Messac;35;35176;47.824592, -1.808662;47.8050001887, -1.79981410683;47.824592,-1.808662;7604.0;7604.0;53;Bibliothèque municipale;240.0;Bibliothèque ouverte au public;15.0;7044.0
Médiathèque Municipale;;;PLACE DE LA MAIRIE;35140;;Mézières-sur-Couesnon;35;35178;48.29631, -1.432749;48.2971797234, -1.43837213468;48.29631,-1.432749;10032.0;10032.0;53;Bibliothèque municipale;110.0;Bibliothèque ouverte au public;18.5;1715.0
Médiathèque Municipale L'Embarc@dère;;ESPACE EVASION;2 RUE DE LA MOTTE;35760;;Montgermont;35;35189;48.158076, -1.715467;48.1538376773, -1.71729477816;48.158076,-1.715467;1480.0;1480.0;53;Bibliothèque municipale;326.0;Bibliothèque ouverte au public;15.0;3360.0
